"AUXLR280.Code.or.Value","AUXLR280.Value.Description","AUXLR280.Count","AUXLR280.Cumulative","AUXLR280.Skip.to.Item"
"-33 to 61","Range of Values",2152,2152,NA
".","Missing",216,2368,NA
