"DSD122Q.Code.or.Value","DSD122Q.Value.Description","DSD122Q.Count","DSD122Q.Cumulative","DSD122Q.Skip.to.Item"
"0.01 to 30","Range of Values",8095,8095,NA
"777777","Refused",2,8097,NA
"999999","Don't know",3,8100,NA
".","Missing",300,8400,NA
