"TYXP078.Code.or.Value","TYXP078.Value.Description","TYXP078.Count","TYXP078.Cumulative","TYXP078.Skip.to.Item"
"-242 to 149","Range of Values",5579,5579,NA
".","Missing",6,5585,NA
