"LBDZBZLC.Code.or.Value","LBDZBZLC.Value.Description","LBDZBZLC.Count","LBDZBZLC.Cumulative","LBDZBZLC.Skip.to.Item"
"0","Result at or above the limit of detection.",425,425,NA
"1","Result below the limit of detection.",222,647,NA
".","Missing",204,851,NA
