"DR1IM181.Code.or.Value","DR1IM181.Value.Description","DR1IM181.Count","DR1IM181.Cumulative","DR1IM181.Skip.to.Item"
"0 to 115.045","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
