"WBXP072.Code.or.Value","WBXP072.Value.Description","WBXP072.Count","WBXP072.Cumulative","WBXP072.Skip.to.Item"
"-115.8292 to 133.9815","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
