"GTDDR1MN.Code.or.Value","GTDDR1MN.Value.Description","GTDDR1MN.Count","GTDDR1MN.Cumulative","GTDDR1MN.Skip.to.Item"
"1 to 76","Range of Values",2107,2107,NA
".","Missing",606,2713,NA
