"DR1IVB6.Code.or.Value","DR1IVB6.Value.Description","DR1IVB6.Count","DR1IVB6.Cumulative","DR1IVB6.Skip.to.Item"
"0 to 13.166","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
