"PAXLXSH.Code.or.Value","PAXLXSH.Value.Description","PAXLXSH.Count","PAXLXSH.Cumulative","PAXLXSH.Skip.to.Item"
"0 to 150000","Range of Values",1307994,1307994,NA
".","Missing",0,1307994,NA
