"LBXVBF.Code.or.Value","LBXVBF.Value.Description","LBXVBF.Count","LBXVBF.Cumulative","LBXVBF.Skip.to.Item"
"0.71 to 310","Range of Values",3254,3254,NA
".","Missing",491,3745,NA
