"URXMNM.Code.or.Value","URXMNM.Value.Description","URXMNM.Count","URXMNM.Cumulative","URXMNM.Skip.to.Item"
"0.35 to 1254.2","Range of Values",2489,2489,NA
".","Missing",105,2594,NA
