"LBDSCASI.Code.or.Value","LBDSCASI.Value.Description","LBDSCASI.Count","LBDSCASI.Cumulative","LBDSCASI.Skip.to.Item"
"1.725 to 3.175","Range of Values",6434,6434,NA
".","Missing",546,6980,NA
