"URXNO3.Code.or.Value","URXNO3.Value.Description","URXNO3.Count","URXNO3.Cumulative","URXNO3.Skip.to.Item"
"495 to 656000","Range of Values",2748,2748,NA
".","Missing",231,2979,NA
