"RFXT127.Code.or.Value","RFXT127.Value.Description","RFXT127.Count","RFXT127.Cumulative","RFXT127.Skip.to.Item"
"1105 to 1114","Range of Values",33681,33681,NA
".","Missing",40,33721,NA
