"LBCBHC.Code.or.Value","LBCBHC.Value.Description","LBCBHC.Count","LBCBHC.Cumulative","LBCBHC.Skip.to.Item"
"0.0044 to 5.2617","Range of Values",264,264,NA
".","Missing",0,264,NA
