"LBXGLY.Code.or.Value","LBXGLY.Value.Description","LBXGLY.Count","LBXGLY.Cumulative","LBXGLY.Skip.to.Item"
"7.69 to 456","Range of Values",2318,2318,NA
".","Missing",437,2755,NA
