"DR2IFF.Code.or.Value","DR2IFF.Value.Description","DR2IFF.Count","DR2IFF.Cumulative","DR2IFF.Skip.to.Item"
"0 to 1005","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
