"URD1DCLC.Code.or.Value","URD1DCLC.Value.Description","URD1DCLC.Count","URD1DCLC.Cumulative","URD1DCLC.Skip.to.Item"
"0","At or above the detection limit",0,0,NA
"1","Below lower detection limit",2886,2886,NA
".","Missing",393,3279,NA
