"DXXINITX.Code.or.Value","DXXINITX.Value.Description","DXXINITX.Count","DXXINITX.Cumulative","DXXINITX.Skip.to.Item"
"72.5 to 264.5","Range of Values",3195,3195,NA
".","Missing",513,3708,NA
