"URXDPM.Code.or.Value","URXDPM.Value.Description","URXDPM.Count","URXDPM.Cumulative","URXDPM.Skip.to.Item"
"0.354 to 2.27","Range of Values",2240,2240,NA
".","Missing",109,2349,NA
