"WTSHM43.Code.or.Value","WTSHM43.Value.Description","WTSHM43.Count","WTSHM43.Cumulative","WTSHM43.Skip.to.Item"
"0.0000000 to 760774.8539600","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
