"DIQ280.Code.or.Value","DIQ280.Value.Description","DIQ280.Count","DIQ280.Cumulative","DIQ280.Skip.to.Item"
"2.1 to 36","Range of Values",249,249,NA
"777","Refused",3,252,NA
"999","Don't know",182,434,NA
".","Missing",8930,9364,NA
