"DR1IP204.Code.or.Value","DR1IP204.Value.Description","DR1IP204.Count","DR1IP204.Cumulative","DR1IP204.Skip.to.Item"
"0 to 1.037","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
