"LBDV2ELC.Code.or.Value","LBDV2ELC.Value.Description","LBDV2ELC.Count","LBDV2ELC.Cumulative","LBDV2ELC.Skip.to.Item"
"0","detectable result",0,0,NA
"1","below detectable limit",3165,3165,NA
"2","detectable result and exceeds the calibrated range of assay",0,3165,NA
".","Missing",380,3545,NA
