"DSQICHOL.Code.or.Value","DSQICHOL.Value.Description","DSQICHOL.Count","DSQICHOL.Cumulative","DSQICHOL.Skip.to.Item"
"0.03 to 250","Range of Values",504,504,NA
".","Missing",9055,9559,NA
