"DR2TVK.Code.or.Value","DR2TVK.Value.Description","DR2TVK.Count","DR2TVK.Cumulative","DR2TVK.Skip.to.Item"
"0 to 3256.5","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
