"RHQ460U.Code.or.Value","RHQ460U.Value.Description","RHQ460U.Count","RHQ460U.Cumulative","RHQ460U.Skip.to.Item"
"1","Months",437,437,NA
"2","Years",1103,1540,NA
"7","Refused",0,1540,NA
"9","Don't know",0,1540,NA
".","Missing",2024,3564,NA
