"LBDVCFLC.Code.or.Value","LBDVCFLC.Value.Description","LBDVCFLC.Count","LBDVCFLC.Cumulative","LBDVCFLC.Skip.to.Item"
"0","At or above detection limit",1420,1420,NA
"1","Below lower detection limit",1438,2858,NA
".","Missing",314,3172,NA
