"URDUCSLC.Code.or.Value","URDUCSLC.Value.Description","URDUCSLC.Count","URDUCSLC.Cumulative","URDUCSLC.Skip.to.Item"
"0","At or above the detection limit",2664,2664,NA
"1","Below lower detection limit",0,2664,NA
".","Missing",91,2755,NA
