"AUXU500L.Code.or.Value","AUXU500L.Value.Description","AUXU500L.Count","AUXU500L.Cumulative","AUXU500L.Skip.to.Item"
"-10 to 100","Range of Values",1676,1676,NA
"666","No response",1,1677,NA
"888","Could not obtain",0,1677,NA
".","Missing",130,1807,NA
