"SSII4UC1.Code.or.Value","SSII4UC1.Value.Description","SSII4UC1.Count","SSII4UC1.Cumulative","SSII4UC1.Skip.to.Item"
"0 to 100000","Range of Values",882,882,NA
".","Missing",64,946,NA
