"URDUCDLC.Code.or.Value","URDUCDLC.Value.Description","URDUCDLC.Count","URDUCDLC.Cumulative","URDUCDLC.Skip.to.Item"
"0","At or above the detection limit",1943,1943,NA
"1","Below lower detection limit",561,2504,NA
".","Missing",90,2594,NA
