"WTDRD1.Code.or.Value","WTDRD1.Value.Description","WTDRD1.Count","WTDRD1.Cumulative","WTDRD1.Skip.to.Item"
"2098.5262571 to 280175.99397","Range of Values",9754,9754,NA
".","Missing",499,10253,NA
