"WTSC2YR.Code.or.Value","WTSC2YR.Value.Description","WTSC2YR.Count","WTSC2YR.Cumulative","WTSC2YR.Skip.to.Item"
"0 to 475173.70936","Range of Values",2756,2756,NA
".","Missing",0,2756,NA
