"VTQ280D.Code.or.Value","VTQ280D.Value.Description","VTQ280D.Count","VTQ280D.Cumulative","VTQ280D.Skip.to.Item"
"1","Yes",120,120,NA
"2","No",3119,3239,NA
"7","Refused",0,3239,NA
"9","Don't know",0,3239,NA
".","Missing",306,3545,NA
