"MCQ080.Code.or.Value","MCQ080.Value.Description","MCQ080.Count","MCQ080.Cumulative","MCQ080.Skip.to.Item"
"1","Yes",2304,2304,NA
"2","No",3850,6154,NA
"7","Refused",0,6154,NA
"9","Don't know",7,6161,NA
".","Missing",2736,8897,NA
