"LBXSIR.Code.or.Value","LBXSIR.Value.Description","LBXSIR.Count","LBXSIR.Cumulative","LBXSIR.Skip.to.Item"
"2 to 286","Range of Values",6253,6253,NA
".","Missing",491,6744,NA
