"AUDTYL21.Code.or.Value","AUDTYL21.Value.Description","AUDTYL21.Count","AUDTYL21.Cumulative","AUDTYL21.Skip.to.Item"
"0 to 1.22","Range of Values",1893,1893,NA
".","Missing",153,2046,NA
