"DEX6PSBK.Code.or.Value","DEX6PSBK.Value.Description","DEX6PSBK.Count","DEX6PSBK.Cumulative","DEX6PSBK.Skip.to.Item"
"1","Present",2,2,NA
".","Missing",2990,2992,NA
