"OHDEXSTS.Code.or.Value","OHDEXSTS.Value.Description","OHDEXSTS.Count","OHDEXSTS.Cumulative","OHDEXSTS.Skip.to.Item"
"1","Complete",4084,4084,NA
"2","Partial",44,4128,NA
"3","Not done",909,5037,NA
".","Missing",0,5037,NA
