"TYXP067.Code.or.Value","TYXP067.Value.Description","TYXP067.Count","TYXP067.Cumulative","TYXP067.Skip.to.Item"
"-179 to 160","Range of Values",5581,5581,NA
".","Missing",4,5585,NA
