"HSQ580.Code.or.Value","HSQ580.Value.Description","HSQ580.Count","HSQ580.Cumulative","HSQ580.Skip.to.Item"
"1","1",42,42,NA
"2","2",34,76,NA
"3","3",22,98,NA
"4","4",29,127,NA
"5","5",15,142,NA
"6","6",29,171,NA
"7","7",13,184,NA
"8","8",12,196,NA
"9","9",7,203,NA
"10","10",10,213,NA
"11","11",5,218,NA
"12","12",10,228,NA
"77","Refused",0,228,NA
"99","Don't know",2,230,NA
".","Missing",8935,9165,NA
