"AUXRR225.Code.or.Value","AUXRR225.Value.Description","AUXRR225.Count","AUXRR225.Cumulative","AUXRR225.Skip.to.Item"
"-40 to 73","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
