"AUXROEXC.Code.or.Value","AUXROEXC.Value.Description","AUXROEXC.Count","AUXROEXC.Cumulative","AUXROEXC.Skip.to.Item"
"1","Yes (checkbox checked)",463,463,NA
"2","No (checkbox unchecked)",3445,3908,NA
".","Missing",592,4500,NA
