"PFQ051.Code.or.Value","PFQ051.Value.Description","PFQ051.Count","PFQ051.Cumulative","PFQ051.Skip.to.Item"
"1","Yes",1130,1130,NA
"2","No",4427,5557,NA
"7","Refused",1,5558,NA
"9","Don't know",1,5559,NA
".","Missing",2791,8350,NA
