"DR1TMFAT.Code.or.Value","DR1TMFAT.Value.Description","DR1TMFAT.Count","DR1TMFAT.Cumulative","DR1TMFAT.Skip.to.Item"
"0 to 188.386","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
