"URDUTULC.Code.or.Value","URDUTULC.Value.Description","URDUTULC.Count","URDUTULC.Cumulative","URDUTULC.Skip.to.Item"
"0","At or above the detection limit",2744,2744,NA
"1","Below lower detection limit",316,3060,NA
".","Missing",219,3279,NA
