"RFXT083.Code.or.Value","RFXT083.Value.Description","RFXT083.Count","RFXT083.Cumulative","RFXT083.Skip.to.Item"
"716 to 725","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
