"RFXC047.Code.or.Value","RFXC047.Value.Description","RFXC047.Count","RFXC047.Cumulative","RFXC047.Skip.to.Item"
"-8.174 to 5.267","Range of Values",33703,33703,NA
".","Missing",18,33721,NA
