"URXGAM.Code.or.Value","URXGAM.Value.Description","URXGAM.Count","URXGAM.Cumulative","URXGAM.Skip.to.Item"
"6.65 to 455","Range of Values",2466,2466,NA
".","Missing",85,2551,NA
