"URXUTM.Code.or.Value","URXUTM.Value.Description","URXUTM.Count","URXUTM.Cumulative","URXUTM.Skip.to.Item"
"0.18 to 6.34","Range of Values",2517,2517,NA
".","Missing",77,2594,NA
