"ECQ030.Code.or.Value","ECQ030.Value.Description","ECQ030.Count","ECQ030.Cumulative","ECQ030.Skip.to.Item"
"1","Yes",202,202,""
"2","No",301,503,"ECQ060"
"7","Refused",0,503,"ECQ060"
"9","Don't know",10,513,"ECQ060"
".","Missing",3090,3603,""
