"TYXP220.Code.or.Value","TYXP220.Value.Description","TYXP220.Count","TYXP220.Cumulative","TYXP220.Skip.to.Item"
"-299 to 169","Range of Values",191,191,NA
".","Missing",5394,5585,NA
