"AUXRR181.Code.or.Value","AUXRR181.Value.Description","AUXRR181.Count","AUXRR181.Cumulative","AUXRR181.Skip.to.Item"
"-22 to 123","Range of Values",2752,2752,NA
".","Missing",282,3034,NA
