"RHQ460U.Code.or.Value","RHQ460U.Value.Description","RHQ460U.Count","RHQ460U.Cumulative","RHQ460U.Skip.to.Item"
"1","Months",543,543,NA
"2","Years",1107,1650,NA
"7","Refused",0,1650,NA
"9","Don't know",0,1650,NA
".","Missing",2215,3865,NA
