"DR2IS160.Code.or.Value","DR2IS160.Value.Description","DR2IS160.Count","DR2IS160.Cumulative","DR2IS160.Skip.to.Item"
"0 to 47.213","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
