"DXXSMX.Code.or.Value","DXXSMX.Value.Description","DXXSMX.Count","DXXSMX.Cumulative","DXXSMX.Skip.to.Item"
"0 to 1","Range of Values",3302,3302,NA
".","Missing",406,3708,NA
