"WTSA2YRA.Code.or.Value","WTSA2YRA.Value.Description","WTSA2YRA.Count","WTSA2YRA.Cumulative","WTSA2YRA.Skip.to.Item"
"0 to 665773.71634","Range of Values",2144,2144,NA
".","Missing",0,2144,NA
