"DSQTKCAL.Code.or.Value","DSQTKCAL.Value.Description","DSQTKCAL.Count","DSQTKCAL.Cumulative","DSQTKCAL.Skip.to.Item"
"0.1 to 326.7","Range of Values",2034,2034,NA
".","Missing",7937,9971,NA
