"LBXF02.Code.or.Value","LBXF02.Value.Description","LBXF02.Count","LBXF02.Cumulative","LBXF02.Skip.to.Item"
"8.06 to 110.9","Range of Values",1922,1922,NA
".","Missing",352,2274,NA
