"URDPHGLC.Code.or.Value","URDPHGLC.Value.Description","URDPHGLC.Count","URDPHGLC.Cumulative","URDPHGLC.Skip.to.Item"
"0","At or above the detection limit",2553,2553,NA
"1","Below lower detection limit",22,2575,NA
".","Missing",180,2755,NA
