"DXXINITX.Code.or.Value","DXXINITX.Value.Description","DXXINITX.Count","DXXINITX.Cumulative","DXXINITX.Skip.to.Item"
"88.5 to 361.1","Range of Values",3300,3300,NA
".","Missing",408,3708,NA
