"DS1TIODI.Code.or.Value","DS1TIODI.Value.Description","DS1TIODI.Count","DS1TIODI.Cumulative","DS1TIODI.Skip.to.Item"
"3.75 to 12500","Range of Values",1170,1170,NA
".","Missing",8643,9813,NA
