"SPXBFVC.Code.or.Value","SPXBFVC.Value.Description","SPXBFVC.Count","SPXBFVC.Cumulative","SPXBFVC.Skip.to.Item"
"1156 to 7289","Range of Values",496,496,NA
".","Missing",7699,8195,NA
